body,reference_mass_g,reference_com_x_mm,reference_com_y_mm,reference_com_z_mm,measured_mass_g,measured_com_x_mm,measured_com_y_mm,measured_com_z_mm,evidence_file,notes
trunk_base,199.224,-22.633,-0.027,2.801,,,,,,
yaw2roll,23.041,-0.000,0.994,16.892,,,,,,
hip_l,6.189,14.815,0.000,-8.300,,,,,,
upper_leg_left,48.207,6.766,22.884,13.453,,,,,,
leg,21.584,-0.000,31.894,-9.535,,,,,,
ankle_left,30.025,-6.157,-13.748,-15.658,,,,,,
neck,36.841,-0.000,-25.000,14.167,,,,,,
neck_pitch,5.720,-0.000,11.664,-14.500,,,,,,
yaw_roll_motion,48.600,-0.167,-5.010,17.806,,,,,,
jaw_soft,188.766,4.605,1.200,-32.476,,,,,,
bearing_roll,23.041,-0.000,0.994,16.892,,,,,,
hip_l_2,6.189,14.815,0.000,-8.300,,,,,,
upper_leg_right,48.207,-6.766,22.884,13.453,,,,,,
leg_2,21.584,-31.894,-0.000,-9.535,,,,,,
ankle_right,30.025,6.155,-13.748,-15.657,,,,,,
