section,required_quantity_or_order_unit,item_or_service,source_links,supplier_and_selection,price_and_evidence,compatibility_and_minimum_notes,selected_sku_or_service,actual_order_quantity,actual_goods_total_currency,actual_goods_total,actual_shipping_usd,actual_other_fees_and_import_usd,actual_landed_total_usd,ordered,received_and_fit_checked
China shopping links,11 installed; sample 1–2 first,Bearing 16 × 22 × 4; 薄壁轴承 ET2216ZZ MR16224 SET2216,https://item.taobao.com/item.htm?id=539024647147,[NBZH 永天轴承 / 539024647147](https://item.taobao.com/item.htm?id=539024647147),Community snapshot ¥2.20 each; MOQ unknown,"Confirm exact size, steel, shields, clearance and lubricant. No EZO equivalence or authenticity established.",,,,,,,,,
China shopping links,3 installed; optional 7 spares,Bearing 10 × 15 × 3; 微型轴承 10x15x3,https://item.taobao.com/item.htm?id=670727787832,[鑫燚轴承 / 670727787832](https://item.taobao.com/item.htm?id=670727787832),Community snapshot ¥5 each; MOQ unknown,Listing reportedly also has 16 × 22 × 4. Select sizes separately; do not assume the headline price applies to both. NSK wording in the source is not proof of genuine NSK.,,,,,,,,,
China shopping links,"1 starter assortment, only if correct SKU",M2/M2.5 screws and nuts; M2 内六角圆柱头 螺丝 螺母,https://item.taobao.com/item.htm?id=842110292995 ; https://item.taobao.com/item.htm?id=842400332284,[广州信邦 600-piece box](https://item.taobao.com/item.htm?id=842110292995) · [alternate 600-piece box](https://item.taobao.com/item.htm?id=842400332284),Community snapshots ¥26.80 / ¥23 per box,"Listings describe countersunk/flat heads. They are leads for selection, not a complete matching screw kit. Verify M2×4/6/8/12 and M2.5×6 socket-head quantities against the US starter list.",,,,,,,,,
China shopping links,0 initially; 1 pack only with redesigned pockets,M2 heat-set inserts; M2 热熔铜螺母,https://item.taobao.com/item.htm?id=1000673642588,[400-piece M2/M3 pack](https://item.taobao.com/item.htm?id=1000673642588),Community snapshot ¥22 per pack,Source holes have no validated insert pockets. Select insert dimensions before redesigning; do not force inserts into the meshes.,,,,,,,,,
China shopping links,1 set if using inserts,Insert tool; 热熔螺母 压头 M2,https://item.taobao.com/item.htm?id=902798112263,[936/T12/T65 candidate tip set](https://item.taobao.com/item.htm?id=902798112263),Community snapshot ¥13 per set,"Match the selected iron and insert, not just the product title.",,,,,,,,,
China shopping links,1 bottle if specified,Removable threadlocker; 乐泰243 螺纹锁固剂,https://detail.tmall.com/item.htm?id=653848839737,[Tmall listing 653848839737](https://detail.tmall.com/item.htm?id=653848839737),Community snapshot ¥19.11; bottle/SKU unverified,Verify manufacturer traceability and shelf life. Use only at permitted metal joints; protect plastics. Can remain a US purchase.,,,,,,,,,
China shopping links,15; buy 1 first,Genuine DYNAMIXEL XL330-M288-T; 原装 XL330-M288-T,https://shop292418244.taobao.com/index.htm ; https://www.aliexpress.com/item/1005004403336577.html ; https://www.robotis.us/dynamixel-xl330-m288-t/ ; https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,[ROBOTIS-linked China store](https://shop292418244.taobao.com/index.htm) · [AliExpress product lead](https://www.aliexpress.com/item/1005004403336577.html) · [ROBOTIS US](https://www.robotis.us/dynamixel-xl330-m288-t/) · [international product](https://en.robotis.com/shop_en/item.php?it_id=902-0163-000),"China price/MOQ/stock unverified; US checked $27.49, international checked $23.90 with 40-day catalogue lead",Obtain a genuine-M288-T quote for 1 and 15. General community ¥299 is not verified for either China link. AliExpress authenticity unverified. No servo swap assumed.,,,,,,,,,
China shopping links,1,Radxa ZERO 3W 2 GB / 16 GB eMMC; 瑞莎 ZERO 3W,https://shop.allnetchina.cn/products/copy-of-radxa-zero-3w ; https://radxa.com/distributors/,[ALLNET China](https://shop.allnetchina.cn/products/copy-of-radxa-zero-3w) · [authorized distributor list](https://radxa.com/distributors/),"Checked page $32.90 no-header / $33.90 header, both sold out","Avoid overpriced Taobao bundles or larger RK3566 boards that do not fit. Confirm RAM/eMMC, wireless/OS revision and actual HAT stacking height.",,,,,,,,,
China shopping links,1 optional; choose one camera,Radxa Camera 8M 219 for ZERO 3W/3E,https://arace.tech/products/radxa-camera-8m-219,[Arace export listing](https://arace.tech/products/radxa-camera-8m-219),"Checked page $15.99, in stock; default Zero 3W/3E FPC",More directly supported host connection than generic camera. Enclosure/lens fit is still unvalidated. Already linked in US guide.,,,,,,,,,
China shopping links,1 optional alternative,IMX219 camera; IMX219 摄像头 树莓派,https://detail.tmall.com/item.htm?id=775872575316 ; https://item.taobao.com/item.htm?id=771618094322,[DECXIN Tmall](https://detail.tmall.com/item.htm?id=775872575316) · [Taobao alternative](https://item.taobao.com/item.htm?id=771618094322),Community snapshot ¥32.80; selected SKU unknown,"Check board outline, lens position, driver, CSI pinout and optical fit; not automatically the source camera.",,,,,,,,,
China shopping links,1 only if camera needs it,CSI FPC; 15P 1.0 转 22P 0.5 排线,https://item.taobao.com/item.htm?id=654755002992 ; https://item.taobao.com/item.htm?id=678057486394,[4 cm candidate](https://item.taobao.com/item.htm?id=654755002992) · [explicit 15 cm pitch listing](https://item.taobao.com/item.htm?id=678057486394),Community snapshots ¥1.88 / ¥2.50,"Confirm pin count, pitch, contact side and routing. Do not add a redundant FPC if included with the camera.",,,,,,,,,
China shopping links,1 optional,VL53L8CX module; VL53L8CX 模块 8x8,https://item.taobao.com/item.htm?id=1025775539663 ; https://item.taobao.com/item.htm?id=967946231167,[¥70 source lead](https://item.taobao.com/item.htm?id=1025775539663) · [¥78.50 source lead](https://item.taobao.com/item.htm?id=967946231167),Community snapshots; exact SKU/module status unknown,"Require populated module, documentation, voltage, pull-ups, interface/cable and sensor marking. A bare IC or L0X/L7CX listing does not meet the same requirement.",,,,,,,,,
China shopping links,1 candidate; choose one plate,NP-F holder; NP-F 电池仓 取电座,https://detail.tmall.com/item.htm?id=658975825526 ; https://detail.tmall.com/item.htm?id=926961598924,[holder](https://detail.tmall.com/item.htm?id=658975825526) · [Type-C plate alternative](https://detail.tmall.com/item.htm?id=926961598924),Community snapshots ¥17.80 / ¥19,"Mounting, contact current and power path unvalidated. Type-C is not proof of appropriate servo regulation or battery charging.",,,,,,,,,
China shopping links,1 battery and 1 external charger,NP-F550 7.4 V; 唯卓仕 NP-F550,../docs/PROCUREMENT_US.md,[existing US battery and charger choices](PROCUREMENT_US.md),No verified China SKU; source ¥52.80 battery was a first-order promotion without an exact link,"Do not budget the promotion. Source envelope is 38.6 × 20.6 × 70.8 mm, despite the misleading np_f970 mesh name. Confirm discharge current and protected shipping route.",,,,,,,,,
China shopping links,1 each after design review,"5 V servo regulator, fuse/switch, rated wire and connectors",https://www.pololu.com/product/2881 ; ../docs/PROCUREMENT_US.md,[Pololu regulator candidate](https://www.pololu.com/product/2881) · [existing power/harness choices](PROCUREMENT_US.md),No reviewed China replacement or landed quote,"Retain existing candidates. A generic “15 A buck” title does not prove fit, thermal/current performance or dropout.",,,,,,,,,
China shopping links,0 extra initially,X3P cables; DYNAMIXEL X3P 180mm,https://www.robotis.us/robot-cable-x3p-180mm-10pcs/,[genuine ROBOTIS 10-pack](https://www.robotis.us/robot-cable-x3p-180mm-10pcs/),Checked US $21.85 per pack; China saving unverified,Each retail servo already includes one 180 mm cable plus tapping screws. Buy extra lengths only after routing.,,,,,,,,,
