section,quantity_or_condition,item,supplier_urls,guide_details,actual_order_quantity,actual_cost_usd,ordered_date,received_date,fit_verified,notes
Buy the walking core first,15,ROBOTIS DYNAMIXEL XL330-M288-T,https://www.robotis.us/dynamixel-xl330-m288-t/ ; https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/,"[ROBOTIS US product page](https://www.robotis.us/dynamixel-xl330-m288-t/) · [specification](https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/) | $27.49 each on the checked page | 3.7–6.0 V rating, M288-T suffix, X3P cable and included screws. Buy one first.",,,,,,
Buy the walking core first,1,"Radxa ZERO 3W, preferably 2 GB / 16 GB eMMC",https://shop.allnetchina.cn/products/copy-of-radxa-zero-3w ; https://radxa.com/distributors/,[ALLNET listing](https://shop.allnetchina.cn/products/copy-of-radxa-zero-3w) · [Radxa distributor list](https://radxa.com/distributors/) | $32.90 listed for 2 GB / 16 GB | Select the Zero 3W form factor and the actual RAM/eMMC SKU. The checked listing had some variants sold out; use the distributor list if unavailable.,,,,,,
Buy the walking core first,1,"RPI Robot HAT, fabricated from the official files",https://github.com/pollen-robotics/elec_RPI_Robot_HAT ; https://jlcpcb.com/pcb-assembly ; https://www.pcbway.com/pcb-assembly.html,"[official KiCad/Gerber repository](https://github.com/pollen-robotics/elec_RPI_Robot_HAT) · [JLCPCB assembly](https://jlcpcb.com/pcb-assembly) · [PCBWay assembly](https://www.pcbway.com/pcb-assembly.html) | Quote required | Upload the `production/` Gerber, BOM and pick-and-place files. It is not the Raspberry Pi HAT mesh; it is a custom board that must be fabricated and assembled.",,,,,,
Buy the walking core first,1,"IMU-to-Dynamixel bridge, custom board",https://github.com/fanhao375/microduck-replica/tree/master/hardware/imu_to_dxl ; https://jlcpcb.com/pcb-assembly,"[reference board and protocol](https://github.com/fanhao375/microduck-replica/tree/master/hardware/imu_to_dxl) · [JLCPCB assembly](https://jlcpcb.com/pcb-assembly) | Quote required | No tested, ready-to-buy board or firmware is included. A generic MPU6050/Adafruit IMU is **not** a drop-in replacement: `robotd` expects an `imu_to_dxl` peripheral at ID 200.",,,,,,
Buy the walking core first,1,NP-F550-class 7.4 V battery,https://www.bhphotovideo.com/c/product/835995-REG/watson_b_4203_np_f550_lithium_ion_battery_pack.html ; https://www.amazon.com/s?k=NP-F550+battery+7.4V,"[Watson B-4203 at B&H](https://www.bhphotovideo.com/c/product/835995-REG/watson_b_4203_np_f550_lithium_ion_battery_pack.html) · [Amazon NP-F550 search](https://www.amazon.com/s?k=NP-F550+battery+7.4V) | $25–60 allowance | B&H listing found in search; direct page blocked automated access. Size-class candidate only: confirm discharge-current capability, dimensions, weight and protection. Camera-battery capacity in mAh does not establish servo-current capability.",,,,,,
Buy the walking core first,1,External NP-F charger,https://www.bhphotovideo.com/c/search?Ntt=NP-F550%20charger&N=0&InitialSearch=yes ; https://www.amazon.com/s?k=NP-F550+battery+charger,[B&H charger search](https://www.bhphotovideo.com/c/search?Ntt=NP-F550%20charger&N=0&InitialSearch=yes) · [Amazon charger search](https://www.amazon.com/s?k=NP-F550+battery+charger) | $15–40 allowance | The HAT has no battery charger. Charge the battery outside the robot with the charger’s instructions.,,,,,,
Buy the walking core first,"1, after mounting/current review",NP-F battery plate / contacts,https://www.smallrig.com/smallrig-np-f-battery-adapter-plate-lite-3018.html ; https://www.amazon.com/s?k=NP-F+battery+plate+7.4V,"[SmallRig NP-F plate 3018](https://www.smallrig.com/smallrig-np-f-battery-adapter-plate-lite-3018.html) · [Amazon NP-F plate search](https://www.amazon.com/s?k=NP-F+battery+plate+7.4V) | $20–45 allowance | Source has no contact design. The SmallRig page shows 7.4 V and 12 V outputs and may regionalize; it is a reference candidate, not a matched mount or sufficient-current guarantee. The 12 V output must not feed the servos. Measure size, mass and current rating before ordering.",,,,,,
Buy the walking core first,"1, after power design",5 V servo regulator candidate,https://www.pololu.com/product/2881 ; https://www.pololu.com/product/2881/specs,"[Pololu D24V150F5 5 V / 15 A](https://www.pololu.com/product/2881) · [specifications](https://www.pololu.com/product/2881/specs) | Quote current price | Bench/design candidate, not a proven robot rail. “15 A” depends on input voltage and cooling; 15 servos can exceed it at simultaneous stall. Check dropout as the battery discharges, transient response, enclosure fit, fuse, connectors and thermal limits. 5 V leaves margin below the stock servo's 6 V upper limit.",,,,,,
Buy the walking core first,1,"Fuse, holder, switch, and protected power leads",https://www.amazon.com/s?k=inline+ATO+fuse+holder+automotive ; https://www.amazon.com/s?k=DC+rocker+switch+15A ; https://www.amazon.com/s?k=16+AWG+silicone+wire+red+black,"[Amazon inline ATO fuse search](https://www.amazon.com/s?k=inline+ATO+fuse+holder+automotive) · [Amazon DC switch search](https://www.amazon.com/s?k=DC+rocker+switch+15A) · [Amazon 16 AWG silicone wire](https://www.amazon.com/s?k=16+AWG+silicone+wire+red+black) | $20–45 allowance | Example searches; size the fuse, switch and wire from measured current and the weakest conductor/connector rating. Put a physical disconnect where you can reach it while the robot is supported.",,,,,,
Buy the walking core first,11,"ET2216-EZO bearings, ID 16 / OD 22 / width 4 mm",https://www.123bearing.com/bearing-housing/deep-groove-bearing/single-row/et2216-ezo ; https://www.smbbearings.com/products/thin-section-bearings.html,"[123Bearing product](https://www.123bearing.com/bearing-housing/deep-groove-bearing/single-row/et2216-ezo) · [SMB alternative quotation](https://www.smbbearings.com/products/thin-section-bearings.html) | $26.35 each on checked 123Bearing page | 11 × $26.35 = $289.85 before shipping/tax. Verify clearance, closure, lubricant and fit. SMB is a UK quote alternative. A 16 × 22 × 4 oil seal is a different product.",,,,,,
Buy the walking core first,3,10 × 15 × 3 mm bearings,https://vxb.com/products/10x15x3-open-bearing-pack-of-10,[VXB 10-pack exact size](https://vxb.com/products/10x15x3-open-bearing-pack-of-10) | $49.99 / 10-pack on checked page | The model uses three. The VXB item is an open bearing; verify seals and lubricant against your intended environment.,,,,,,
Buy the walking core first,0–1 extra pack after measuring,"Dynamixel X3P spare cables, 180 mm",https://www.robotis.us/robot-cable-x3p-180mm-10pcs/,"[ROBOTIS US 10-pack](https://www.robotis.us/robot-cable-x3p-180mm-10pcs/) | $21.85 / 10-pack on checked page | Each servo listing includes one 180 mm X3P cable, so 15 servo boxes already provide 15 cables. Order additional lengths after routing the servo/IMU bus. Avoid HRS-convertible or 4-pin RS-485 cables unless an actual connector requires them.",,,,,,
Buy the walking core first,1,ROBOTIS U2D2 USB interface for setup,https://www.robotis.us/u2d2/,[ROBOTIS US U2D2](https://www.robotis.us/u2d2/) | $36.92 on checked page | Bench tool for assigning IDs and reading servos. It is not the robot’s runtime computer.,,,,,,
Buy the walking core first,1,U2D2 Power Hub (optional bench harness),https://www.robotis.us/u2d2-power-hub-board-set/,"[ROBOTIS US Power Hub](https://www.robotis.us/u2d2-power-hub-board-set/) | $21.85 on checked page | Useful for a one-servo bench, but do not use it as a substitute for the validated robot power design.",,,,,,
Optional perception and interaction,1,Radxa Camera 8M 219 for Zero 3E/3W,https://arace.tech/products/radxa-camera-8m-219,[Arace product page](https://arace.tech/products/radxa-camera-8m-219) | The checked page listed it in stock at $15.99. Confirm the supplied FPC orientation and connector.,,,,,,
Optional perception and interaction,1,"Short CSI camera cable, only if not included",https://www.adafruit.com/product/3157 ; https://www.amazon.com/s?k=Raspberry+Pi+Zero+camera+cable,[Adafruit Pi Zero camera cable](https://www.adafruit.com/product/3157) · [Amazon Pi Zero CSI cable search](https://www.amazon.com/s?k=Raspberry+Pi+Zero+camera+cable) | The Radxa camera page may include the correct FPC. Do not assume a 15-pin Raspberry Pi cable fits the Zero 3W; compare connector pitch and contacts first.,,,,,,
Optional perception and interaction,1,VL53L5CX 8 × 8 ToF module,https://www.sparkfun.com/sparkfun-qwiic-tof-imager-vl53l5cx.html,[SparkFun Qwiic VL53L5CX](https://www.sparkfun.com/sparkfun-qwiic-tof-imager-vl53l5cx.html) | The checked page listed $32.50 and in stock. The software also documents VL53L8CX compatibility; this sensor is optional.,,,,,,
Optional perception and interaction,"1, after fit check",Miniature speaker matched to the HAT,https://www.digikey.com/en/products?keywords=35mm%2025mm%20speaker ; https://www.adafruit.com/product/3351,[Digi-Key speaker search](https://www.digikey.com/en/products?keywords=35mm%2025mm%20speaker) · [Adafruit bench speaker](https://www.adafruit.com/product/3351) | Reference envelope is 35 × 25 × 7 mm. Exact original SKU is unknown. Adafruit 3351 is about 71 × 30 mm and is an external bench option only; it does not fit the source envelope. Select impedance/power from the HAT amplifier design and actual enclosure.,,,,,,
